Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Age-Specific Fertility Rate by Education"
"Number of births occurring to women in a particular age group by level of education attainment during a five-year period divided by the number of women in that age group. Available in all scenarios, and at all geographical scales. It is expressed in births per 1,000 women."
"Multiple Scenarios"
" "
"Scenario","Area","Period","Age","Education","Rate"
"SSP2","Zambia","2015-2020","30--34","Primary",195
"SSP2","Zambia","2020-2025","30--34","Primary",188
"SSP2","Zambia","2025-2030","30--34","Primary",180
"SSP2","Zambia","2030-2035","30--34","Primary",153
"SSP2","Zambia","2035-2040","30--34","Primary",137
"SSP2","Zambia","2040-2045","30--34","Primary",121
"SSP2","Zambia","2045-2050","30--34","Primary",107
"SSP2","Zambia","2050-2055","30--34","Primary",94
"SSP2","Zambia","2055-2060","30--34","Primary",85
"SSP2","Zambia","2060-2065","30--34","Primary",78
"SSP2","Zambia","2065-2070","30--34","Primary",73
"SSP2","Zambia","2075-2080","30--34","Primary",66
"SSP2","Zambia","2015-2020","35--39","Primary",127
"SSP2","Zambia","2020-2025","35--39","Primary",123
"SSP2","Zambia","2025-2030","35--39","Primary",102
"SSP2","Zambia","2030-2035","35--39","Primary",90
"SSP2","Zambia","2035-2040","35--39","Primary",79
"SSP2","Zambia","2040-2045","35--39","Primary",69
"SSP2","Zambia","2045-2050","35--39","Primary",60
"SSP2","Zambia","2050-2055","35--39","Primary",52
"SSP2","Zambia","2055-2060","35--39","Primary",46
"SSP2","Zambia","2060-2065","35--39","Primary",41
"SSP2","Zambia","2065-2070","35--39","Primary",37
"SSP2","Zambia","2075-2080","35--39","Primary",32
"SSP2","Zambia","2015-2020","40--44","Primary",57
"SSP2","Zambia","2020-2025","40--44","Primary",55
"SSP2","Zambia","2025-2030","40--44","Primary",44
"SSP2","Zambia","2030-2035","40--44","Primary",39
"SSP2","Zambia","2035-2040","40--44","Primary",34
"SSP2","Zambia","2040-2045","40--44","Primary",29
"SSP2","Zambia","2045-2050","40--44","Primary",24
"SSP2","Zambia","2050-2055","40--44","Primary",20
"SSP2","Zambia","2055-2060","40--44","Primary",18
"SSP2","Zambia","2060-2065","40--44","Primary",15
"SSP2","Zambia","2065-2070","40--44","Primary",13
"SSP2","Zambia","2075-2080","40--44","Primary",10
"SSP2","Zambia","2015-2020","45--49","Primary",15
"SSP2","Zambia","2020-2025","45--49","Primary",13
"SSP2","Zambia","2025-2030","45--49","Primary",10
"SSP2","Zambia","2030-2035","45--49","Primary",8
"SSP2","Zambia","2035-2040","45--49","Primary",6
"SSP2","Zambia","2040-2045","45--49","Primary",5
"SSP2","Zambia","2045-2050","45--49","Primary",4
"SSP2","Zambia","2050-2055","45--49","Primary",3
"SSP2","Zambia","2055-2060","45--49","Primary",2
"SSP2","Zambia","2060-2065","45--49","Primary",1
"SSP2","Zambia","2065-2070","45--49","Primary",1
"SSP2","Zambia","2075-2080","45--49","Primary",9
"SSP2","Zambia","2015-2020","15--19","Lower Secondary",63
"SSP2","Zambia","2020-2025","15--19","Lower Secondary",59
"SSP2","Zambia","2025-2030","15--19","Lower Secondary",54
"SSP2","Zambia","2030-2035","15--19","Lower Secondary",48
"SSP2","Zambia","2035-2040","15--19","Lower Secondary",42
"SSP2","Zambia","2040-2045","15--19","Lower Secondary",37
"SSP2","Zambia","2045-2050","15--19","Lower Secondary",32
"SSP2","Zambia","2050-2055","15--19","Lower Secondary",28
"SSP2","Zambia","2055-2060","15--19","Lower Secondary",25
"SSP2","Zambia","2060-2065","15--19","Lower Secondary",22
"SSP2","Zambia","2065-2070","15--19","Lower Secondary",20
"SSP2","Zambia","2075-2080","15--19","Lower Secondary",17
"SSP2","Zambia","2015-2020","20--24","Lower Secondary",224
"SSP2","Zambia","2020-2025","20--24","Lower Secondary",223
"SSP2","Zambia","2025-2030","20--24","Lower Secondary",223
"SSP2","Zambia","2030-2035","20--24","Lower Secondary",231
"SSP2","Zambia","2035-2040","20--24","Lower Secondary",233
"SSP2","Zambia","2040-2045","20--24","Lower Secondary",225
"SSP2","Zambia","2045-2050","20--24","Lower Secondary",215
"SSP2","Zambia","2050-2055","20--24","Lower Secondary",205
"SSP2","Zambia","2055-2060","20--24","Lower Secondary",196
"SSP2","Zambia","2060-2065","20--24","Lower Secondary",187
"SSP2","Zambia","2065-2070","20--24","Lower Secondary",180
"SSP2","Zambia","2075-2080","20--24","Lower Secondary",169
"SSP2","Zambia","2015-2020","25--29","Lower Secondary",216
"SSP2","Zambia","2020-2025","25--29","Lower Secondary",213
"SSP2","Zambia","2025-2030","25--29","Lower Secondary",209
"SSP2","Zambia","2030-2035","25--29","Lower Secondary",210
"SSP2","Zambia","2035-2040","25--29","Lower Secondary",219
"SSP2","Zambia","2040-2045","25--29","Lower Secondary",209
"SSP2","Zambia","2045-2050","25--29","Lower Secondary",197
"SSP2","Zambia","2050-2055","25--29","Lower Secondary",184
"SSP2","Zambia","2055-2060","25--29","Lower Secondary",173
"SSP2","Zambia","2060-2065","25--29","Lower Secondary",164
"SSP2","Zambia","2065-2070","25--29","Lower Secondary",157
"SSP2","Zambia","2075-2080","25--29","Lower Secondary",148
"SSP2","Zambia","2015-2020","30--34","Lower Secondary",153
"SSP2","Zambia","2020-2025","30--34","Lower Secondary",151
"SSP2","Zambia","2025-2030","30--34","Lower Secondary",148
"SSP2","Zambia","2030-2035","30--34","Lower Secondary",149
"SSP2","Zambia","2035-2040","30--34","Lower Secondary",122
"SSP2","Zambia","2040-2045","30--34","Lower Secondary",111
"SSP2","Zambia","2045-2050","30--34","Lower Secondary",101
"SSP2","Zambia","2050-2055","30--34","Lower Secondary",91
"SSP2","Zambia","2055-2060","30--34","Lower Secondary",84
"SSP2","Zambia","2060-2065","30--34","Lower Secondary",78
"SSP2","Zambia","2065-2070","30--34","Lower Secondary",74
"SSP2","Zambia","2075-2080","30--34","Lower Secondary",70
"SSP2","Zambia","2015-2020","35--39","Lower Secondary",103
"SSP2","Zambia","2020-2025","35--39","Lower Secondary",101
