Source: Wittgenstein Centre for Demography and Global Human Capital (2018). Wittgenstein Centre Data Explorer Version 2.0
Available at: www.wittgensteincentre.org/dataexplorer 

""
"Age-Specific Survival Ratio by Education"
"Survivorship of population in a particular education group and by five-year age group. Available by level of educational attainment, in all scenarios, and at all geographical scales. It is expressed as a percentage."
"Multiple Scenarios"
" "
"Scenario","Area","Period","Age","Sex","Education","Ratio"
"SSP2","Zambia","2035-2040","95--99","Male","No Education",9.1
"SSP2","Zambia","2040-2045","95--99","Male","No Education",9.3
"SSP2","Zambia","2045-2050","95--99","Male","No Education",9.4
"SSP2","Zambia","2050-2055","95--99","Male","No Education",9.6
"SSP2","Zambia","2055-2060","95--99","Male","No Education",9.8
"SSP2","Zambia","2060-2065","95--99","Male","No Education",8.4
"SSP2","Zambia","2065-2070","95--99","Male","No Education",8.5
"SSP2","Zambia","2070-2075","95--99","Male","No Education",8.6
"SSP2","Zambia","2015-2020","100+","Male","No Education",5.48327422530652
"SSP2","Zambia","2020-2025","100+","Male","No Education",5.57188432047758
"SSP2","Zambia","2025-2030","100+","Male","No Education",5.57188432047758
"SSP2","Zambia","2030-2035","100+","Male","No Education",5.57189734940149
"SSP2","Zambia","2035-2040","100+","Male","No Education",5.57189734940149
"SSP2","Zambia","2040-2045","100+","Male","No Education",5.56638165970675
"SSP2","Zambia","2045-2050","100+","Male","No Education",5.66015515791494
"SSP2","Zambia","2050-2055","100+","Male","No Education",5.66015515791494
"SSP2","Zambia","2055-2060","100+","Male","No Education",5.7537560173165
"SSP2","Zambia","2060-2065","100+","Male","No Education",5.48327422530652
"SSP2","Zambia","2065-2070","100+","Male","No Education",5.48327422530652
"SSP2","Zambia","2070-2075","100+","Male","No Education",5.47783717893416
"SSP2","Zambia","2015-2020","Newborn","Female","No Education",94.2
"SSP2","Zambia","2020-2025","Newborn","Female","No Education",95.3
"SSP2","Zambia","2025-2030","Newborn","Female","No Education",95.4
"SSP2","Zambia","2030-2035","Newborn","Female","No Education",95.6
"SSP2","Zambia","2035-2040","Newborn","Female","No Education",95.7
"SSP2","Zambia","2040-2045","Newborn","Female","No Education",95.9
"SSP2","Zambia","2045-2050","Newborn","Female","No Education",96
"SSP2","Zambia","2050-2055","Newborn","Female","No Education",96.1
"SSP2","Zambia","2055-2060","Newborn","Female","No Education",96.3
"SSP2","Zambia","2060-2065","Newborn","Female","No Education",94.3
"SSP2","Zambia","2065-2070","Newborn","Female","No Education",94.5
"SSP2","Zambia","2070-2075","Newborn","Female","No Education",94.7
"SSP2","Zambia","2015-2020","0--4","Female","No Education",98.4
"SSP2","Zambia","2020-2025","0--4","Female","No Education",98.9
"SSP2","Zambia","2025-2030","0--4","Female","No Education",98.9
"SSP2","Zambia","2030-2035","0--4","Female","No Education",99
"SSP2","Zambia","2035-2040","0--4","Female","No Education",99
"SSP2","Zambia","2040-2045","0--4","Female","No Education",99.1
"SSP2","Zambia","2045-2050","0--4","Female","No Education",99.1
"SSP2","Zambia","2050-2055","0--4","Female","No Education",99.2
"SSP2","Zambia","2055-2060","0--4","Female","No Education",99.2
"SSP2","Zambia","2060-2065","0--4","Female","No Education",98.2
"SSP2","Zambia","2065-2070","0--4","Female","No Education",98.4
"SSP2","Zambia","2070-2075","0--4","Female","No Education",98.5
"SSP2","Zambia","2015-2020","5--9","Female","No Education",99.2
"SSP2","Zambia","2020-2025","5--9","Female","No Education",99.5
"SSP2","Zambia","2025-2030","5--9","Female","No Education",99.5
"SSP2","Zambia","2030-2035","5--9","Female","No Education",99.5
"SSP2","Zambia","2035-2040","5--9","Female","No Education",99.6
"SSP2","Zambia","2040-2045","5--9","Female","No Education",99.6
"SSP2","Zambia","2045-2050","5--9","Female","No Education",99.6
"SSP2","Zambia","2050-2055","5--9","Female","No Education",99.6
"SSP2","Zambia","2055-2060","5--9","Female","No Education",99.6
