"meta_education","rururb","energy","fuel","cap_GJ_average","cap_GJ_sd","n_cases","cap_GJ_se","name_meta_education","name_energy"
"post_secondary","Rural","elec1_CC0","paraffin",0,0,50,0,"Post sec.","Elec, 
 No CC"
"post_secondary","Rural","elec1_CC0","kerosene",0,0,50,0,"Post sec.","Elec, 
 No CC"
"post_secondary","Rural","elec1_CC1","firewood",0,0,98,0,"Post sec.","Elec, 
 CC"
"post_secondary","Rural","elec1_CC1","gas",0,0,98,0,"Post sec.","Elec, 
 CC"
"post_secondary","Rural","elec1_CC1","coal",0,0,98,0,"Post sec.","Elec, 
 CC"
"post_secondary","Rural","elec1_CC1","charcoal",6.12989022849704,7.90389609327302,98,0.798414075049601,"Post sec.","Elec, 
 CC"
"post_secondary","Rural","elec1_CC1","diesel_home",0.0638149044697122,1.18269384293668,98,0.119470119486872,"Post sec.","Elec, 
 CC"
"post_secondary","Rural","elec1_CC1","electricity",4.62947516547962,3.72134058264963,98,0.375912165870893,"Post sec.","Elec, 
 CC"
"post_secondary","Rural","elec1_CC1","paraffin",0.06090726718044,0.300035954402746,98,0.0303082082797085,"Post sec.","Elec, 
 CC"
"post_secondary","Rural","elec1_CC1","kerosene",0,0,98,0,"Post sec.","Elec, 
 CC"
"post_secondary","Urban","elec0_CC0","firewood",1.18309930420977,3.32200872722898,88,0.354127320192405,"Post sec.","No elec, 
 No CC"
"post_secondary","Urban","elec0_CC0","gas",0,0,88,0,"Post sec.","No elec, 
 No CC"
"post_secondary","Urban","elec0_CC0","coal",0,0,88,0,"Post sec.","No elec, 
 No CC"
"post_secondary","Urban","elec0_CC0","charcoal",10.486498408546,10.2573028287055,88,1.09343215547822,"Post sec.","No elec, 
 No CC"
"post_secondary","Urban","elec0_CC0","diesel_home",0.0128372047169718,0.0985528145738774,88,0.0105057653330062,"Post sec.","No elec, 
 No CC"
"post_secondary","Urban","elec0_CC0","electricity",0.0861997765421166,0.460703010004784,88,0.049111105880103,"Post sec.","No elec, 
 No CC"
"post_secondary","Urban","elec0_CC0","paraffin",0.0127785797192503,0.127373139007172,88,0.0135780222403959,"Post sec.","No elec, 
 No CC"
"post_secondary","Urban","elec0_CC0","kerosene",0,0,88,0,"Post sec.","No elec, 
 No CC"
"post_secondary","Urban","elec1_CC0","firewood",0.0646120857221334,0.881727622172589,431,0.0424713251074822,"Post sec.","Elec, 
 No CC"
"post_secondary","Urban","elec1_CC0","gas",0.0159228434919907,0.645132045300156,431,0.0310749171787143,"Post sec.","Elec, 
 No CC"
"post_secondary","Urban","elec1_CC0","coal",0.0217212975058463,0.329991965590428,431,0.0158951536744585,"Post sec.","Elec, 
 No CC"
"post_secondary","Urban","elec1_CC0","charcoal",14.6700490693473,10.8838938104439,431,0.524258717584097,"Post sec.","Elec, 
 No CC"
