"mcf_proj","period_min","urban","scenario","mcf_proj_tp5","period_max","p_mcf"
3.92283890650028,2040,0,"SSP3",5.77283890650027,2045,0.0192553566211186
100,2040,1,"Universal",100,2045,1
100,2040,0,"Universal",100,2045,1
62.9512172515974,2045,1,"SSP1",76.3012172515974,2050,0.360335725215577
21.7728389065003,2045,0,"SSP1",34.1228389065003,2050,0.157873554752152
51.4012172515974,2045,1,"SSP2",56.8012172515974,2050,0.111113894106278
8.62283890650029,2045,0,"SSP2",10.8228389065003,2050,0.0240760379691475
33.7512172515974,2045,1,"SSP3",37.5012172515974,2050,0.0566048136196196
5.77283890650027,2045,0,"SSP3",7.62283890650027,2050,0.0196334048328621
100,2045,1,"Universal",100,2050,1
100,2045,0,"Universal",100,2050,1
76.3012172515974,2050,1,"SSP1",88.1506086257987,2055,0.5
56.8012172515974,2050,1,"SSP2",63.9956787900589,2055,0.166543154244955
37.5012172515974,2050,1,"SSP3",42.8863916702021,2055,0.0861644688390717
34.1228389065003,2050,0,"SSP1",67.0614194532502,2055,0.5
10.8228389065003,2050,0,"SSP2",15.2228389065003,2055,0.0493399873470594
7.62283890650027,2050,0,"SSP3",13.0754704854476,2055,0.0590257539244838
100,2050,1,"Universal",100,2055,1
100,2050,0,"Universal",100,2055,1
88.1506086257987,2055,1,"SSP1",100,2060,1
67.0614194532502,2055,0,"SSP1",100,2060,1
63.9956787900589,2055,1,"SSP2",71.1901403285204,2060,0.199822168470018
15.2228389065003,2055,0,"SSP2",19.6228389065002,2060,0.0519007707175667
42.8863916702021,2055,1,"SSP3",48.2715660888067,2060,0.0942888144539633
13.0754704854476,2055,0,"SSP3",18.5281020643949,2060,0.0627283415785928
100,2055,1,"Universal",100,2060,1
100,2055,0,"Universal",100,2060,1
100,2060,1,"SSP1",100,2065,1
71.1901403285204,2060,1,"SSP2",80.7753767782245,2065,0.332706807981889
48.2715660888067,2060,1,"SSP3",56.0049270271518,2065,0.149499228057466
100,2060,0,"SSP1",100,2065,1
19.6228389065002,2060,0,"SSP2",28.4228389065002,2065,0.109483836954173
18.5281020643949,2060,0,"SSP3",34.5990161918185,2065,0.197257146754161
100,2060,1,"Universal",100,2065,1
100,2060,0,"Universal",100,2065,1
100,2065,1,"SSP1",100,2070,1
100,2065,0,"SSP1",100,2070,1
80.7753767782245,2065,1,"SSP2",90.3606132279287,2070,0.498591641517691
28.4228389065002,2065,0,"SSP2",37.2228389065002,2070,0.122944244582497
56.0049270271518,2065,1,"SSP3",63.7382879654968,2070,0.175777886380998
34.5990161918185,2065,0,"SSP3",50.6699303192422,2070,0.245728935432516
100,2065,1,"Universal",100,2070,1
100,2065,0,"Universal",100,2070,1
100,2070,1,"SSP1",NA,2075,1
90.3606132279287,2070,1,"SSP2",NA,2075,1
63.7382879654968,2070,1,"SSP3",NA,2075,1
100,2070,0,"SSP1",NA,2075,1
37.2228389065002,2070,0,"SSP2",NA,2075,1
50.6699303192422,2070,0,"SSP3",NA,2075,1
100,2070,1,"Universal",NA,2075,1
