"elec_proj","period_min","urban","scenario","elec_proj_tp5","period_max","p_elec"
100,2060,1,"Universal",100,2065,1
100,2060,0,"Universal",100,2065,1
100,2065,1,"SSP1",100,2070,1
60.0014537673188,2065,0,"SSP1",68.6539829857264,2070,0.216321092473555
99.2110597281804,2065,1,"SSP2",100,2070,1
42.7044048748405,2065,0,"SSP2",48.432354204427,2070,0.0999718969158802
88.8094500636084,2065,1,"SSP3",90.2709575407544,2070,0.130601935155411
22.4107292430096,2065,0,"SSP3",23.9882011668378,2070,0.0203310574830481
100,2065,1,"Universal",100,2070,1
100,2065,0,"Universal",100,2070,1
100,2070,1,"SSP1",NA,2075,1
100,2070,1,"SSP2",NA,2075,1
90.2709575407544,2070,1,"SSP3",NA,2075,1
68.6539829857264,2070,0,"SSP1",NA,2075,1
48.432354204427,2070,0,"SSP2",NA,2075,1
